Exercise Name,video link/superset name,LeftRight?/rest time,Reps,Weight,Time,Reps,Weight,Time,Reps,Weight,Time,Reps,Weight,Time,Reps,Weight,Time
SUPERSET_START,Warm Up Circuit: Positional Core and Activation,30,,,,,,,,,,,,,,,
Heels Dug in Bridge on Bench ISO,https://www.youtube.com/watch?v=sB_cBt378Jc,TRUE,,,30,,,30,,,30,,,,,,
Spiderman Stretch ,https://www.youtube.com/watch?v=JRZzLMsVNDE,TRUE,8,,,8,,,8,,,,,,,,
Zercher Cable Squat (3 sec Tempo Both Ways) ,https://www.youtube.com/watch?v=qBjYBf6-m00,TRUE,,40,,,40,,,40,,,,,,,
SUPERSET_START,Warm Up Circuit: Positional Core and Activation,10,,,,,,,,,,,,,,,
Rower or Bike Tempo Intervals 80-90% Effort,,FALSE,,,10,,,10,,,10,,,10,,,10
Rower or Bike Tempo Intervals Slow/Rest,,FALSE,,,60,,,60,,,60,,,60,,,60
SUPERSET_START,Block A,90,,,,,,,,,,,,,,,
Goblet Squat Heels Elevated,https://www.youtube.com/watch?v=9X8aBFExaBs,FALSE,10,40,,10,40,,10,40,,10,40,,,,
Seated Cable Row,https://www.youtube.com/watch?v=uOBD2nV_ME8,FALSE,10,30,,10,30,,10,30,,10,30,,,,
SUPERSET_START,Block B,90,,,,,,,,,,,,,,,
Toes Elevated Dumbbell RDL,https://www.youtube.com/watch?v=Tn7TpIlJh_w,FALSE,10,80,,10,80,,10,80,,,,,,,
Flat DB Press,https://www.youtube.com/watch?v=tlFnymKWAs4&list=PLdck1I3JAQhH644PqsiPI8lRRRjwjhhnn&index=6&t=0s,FALSE,10,80,,10,80,,10,80,,,,,,,
SUPERSET_START,Block C,90,,,,,,,,,,,,,,,
Seated DB Lateral Raise,https://www.youtube.com/watch?v=3TL3ylJCj9o,TRUE,12,10,,12,10,,12,10,,,,,,,
Goblet FFE Split Squat,https://www.youtube.com/watch?v=lm7gMzmMlA4,TRUE,8,20,,8,20,,8,20,,,,,,,
Seated Dumbbell Hammer Curl ,,TRUE,12,20,,12,20,,12,20,,,,,,,
